Cohort ID	Likelihood Weights	Mortality Prob
0	3.8747308344786055e-16	0.1125533007053861
1	8.962890324979725e-41	0.15804867401632372
2	8.389493269433106e-06	0.050017156222601736
3	6.904414131408729e-07	0.09534988589477597
4	0.00831598409357696	0.07201338362256696
5	0.004223898650075156	0.06385078921531967
6	0.0018119549520788079	0.07793903170665065
7	8.046989169966292e-11	0.10183410905645718
8	1.1684889855125132e-15	0.1095151211346005
9	8.63508219480891e-22	0.13082251010050355
10	1.853111538593888e-17	0.11287917716049423
11	1.2860139274229548e-41	0.15278292505951394
12	0.00037997245290536963	0.08066783745972762
13	2.3395984282050378e-57	0.18171761545864185
14	0.0008631631757640407	0.05410813897968893
15	1.1482498552302113e-39	0.15057012652676036
16	4.016580668518781e-14	0.11259572035506905
17	1.8651275612608867e-28	0.13380347426686276
18	0.010364431436547639	0.07105804078928507
19	0.007702956277282287	0.07971522336273182
20	6.585572795268668e-47	0.17011168530133053
21	3.9316722094103547e-72	0.19523923635790963
22	9.356546230577322e-08	0.09701362672388644
23	4.705203797181209e-41	0.15384839235039713
24	1.4805444304627186e-60	0.18145837284440575
25	6.420147952880106e-61	0.1841909995255771
26	0.00017843402088020977	0.06275663170546669
27	0.00033197601120713103	0.05585821748493236
28	0.003853439031852098	0.07547456293468534
29	3.964493104484006e-63	0.18172137551441198
30	0.005207734883640609	0.06475202507495752
31	3.3515359595364103e-10	0.11316614375075784
32	1.2537701927230466e-74	0.19368342952257533
33	1.8097951068451843e-20	0.12997479274595258
34	2.1317501974921704e-45	0.15378156709257101
35	1.4814886852921847e-07	0.09732734465090945
36	3.7220209693864475e-34	0.15297513915223757
37	6.585572795268668e-47	0.17519385078460598
38	8.389493269433106e-06	0.05274324160162877
39	1.6584048587384802e-44	0.16252164724174514
40	2.677611626564934e-69	0.19832916333597422
41	9.338348023427868e-63	0.1622248481569759
42	8.061232432833015e-05	0.09206659880966078
43	5.214469507216299e-57	0.1683918992677233
44	0.01081954219819524	0.0654839009866463
45	3.455017571885213e-15	0.11718402892638578
46	5.214469507216299e-57	0.18628932546396437
47	2.236253948658171e-08	0.09404212225605194
48	6.904414131408729e-07	0.09316630078795232
49	0.010364431436547639	0.06950428581774165
50	0.00020948005044648955	0.052905043680544564
51	6.160840547699754e-36	0.15182532994098366
52	0.00010911136868717354	0.08174421740000887
53	6.226431405455801e-06	0.08983199890583393
54	4.2299768773087864e-20	0.12373597389205075
55	0.006955006883416827	0.05800438176756206
56	1.0500667120410655e-31	0.13611764082380198
57	0.009733115511562414	0.07200928623587152
58	2.9223489235783575e-26	0.13839583053549265
59	2.463271285565003e-41	0.1549637540031397
60	0.008633420648247306	0.06535016432417388
61	1.0091953178323052e-09	0.11210839817293526
62	6.418417913189224e-44	0.1541600236591618
63	4.1969956487490927e-13	0.11212689042903541
64	0.0023286865588014725	0.057493018841913074
65	1.7818844764724497e-26	0.13038446088732675
66	2.076951500045469e-33	0.14956919678296834
67	4.979971815536159e-21	0.1272333668087463
68	2.2613666451604977e-73	0.19168921339862205
69	1.0839250925346833e-26	0.13798325607529896
70	3.402417640004922e-60	0.18551028729318253
71	0.0030618783784959074	0.07062120562193563
72	0.010501434191284416	0.07089145208761378
73	2.6696859124053186e-46	0.17110869330642858
74	4.1969956487490927e-13	0.10965152554783004
75	0.0070392622406707005	0.07480312956753993
76	1.667032760406802e-68	0.1891262870594051
77	2.236253948658171e-08	0.102164878961826
78	2.6696859124053186e-46	0.16262181547042337
79	2.6696859124053186e-46	0.15889969780256774
80	4.6627424305608444e-58	0.18249591368087148
81	1.98409529129439e-32	0.14355083105834135
82	2.1653787890396832e-49	0.1626413651041006
83	1.3637223385208818e-08	0.1023347512966764
84	1.5847763356076967e-06	0.09048918376475393
85	1.1946325698532017e-61	0.18438293272941003
86	7.040254278877227e-15	0.11421367848069425
87	1.508015446764258e-66	0.19472600707225785
88	6.451848243659618e-33	0.14951622467276723
89	1.7026483595595865e-40	0.14325435803136827
90	0.010861501059001088	0.06721189594300628
91	1.4805444304627186e-60	0.1924233888060607
